geo_level,geo_name,year,state_name,pct_black_alone,pct_owner_occupied_black_alone,rpl_themes,quartiles_rpl_themes
county,"Wagoner County, Oklahoma",2023,Oklahoma,3.4,2.4,0.449000000,26-50% of geographies
county,"Marshall County, Indiana",2023,Indiana,0.5,0.1,0.449000000,26-50% of geographies
county,"Kittitas County, Washington",2023,Washington,1.1,0.1,0.337000000,26-50% of geographies
county,"Benton County, Indiana",2023,Indiana,1.5,0.1,0.337000000,26-50% of geographies
county,"Banks County, Georgia",2023,Georgia,1.7,1.2,0.337000000,26-50% of geographies
county,"Union County, Pennsylvania",2023,Pennsylvania,6.0,0.1,0.453000000,26-50% of geographies
county,"Silver Bow County, Montana",2023,Montana,0.1,0.0,0.453000000,26-50% of geographies
county,"Indiana County, Pennsylvania",2023,Pennsylvania,2.5,0.3,0.453000000,26-50% of geographies
county,"Kendall County, Texas",2023,Texas,0.9,0.7,0.341000000,26-50% of geographies
county,"Henrico County, Virginia",2023,Virginia,29.7,24.0,0.341000000,26-50% of geographies
county,"Radford city, Virginia",2023,Virginia,9.3,1.0,0.341000000,26-50% of geographies
county,"Wilson County, Kansas",2023,Kansas,0.2,0.0,0.457000000,26-50% of geographies
county,"Franklin County, Maine",2023,Maine,0.6,0.4,0.457000000,26-50% of geographies
county,"Stearns County, Minnesota",2023,Minnesota,8.4,1.6,0.457000000,26-50% of geographies
county,"Clinton County, Iowa",2023,Iowa,2.9,0.6,0.345000000,26-50% of geographies
county,"Lawrence County, South Dakota",2023,South Dakota,0.5,0.0,0.345000000,26-50% of geographies
county,"Oxford County, Maine",2023,Maine,0.3,0.2,0.345000000,26-50% of geographies
county,"Albany County, New York",2023,New York,12.3,5.4,0.461000000,26-50% of geographies
county,"Montcalm County, Michigan",2023,Michigan,3.2,1.6,0.461000000,26-50% of geographies
county,"Sanilac County, Michigan",2023,Michigan,0.4,0.1,0.461000000,26-50% of geographies
county,"Camden County, Missouri",2023,Missouri,0.9,0.2,0.349000000,26-50% of geographies
county,"Bennington County, Vermont",2023,Vermont,1.0,0.1,0.349000000,26-50% of geographies
county,"Baldwin County, Alabama",2023,Alabama,8.0,6.1,0.349000000,26-50% of geographies
county,"Stevens County, Washington",2023,Washington,0.4,0.4,0.465000000,26-50% of geographies
county,"Oglethorpe County, Georgia",2023,Georgia,15.9,10.4,0.465000000,26-50% of geographies
county,"LaSalle Parish, Louisiana",2023,Louisiana,11.3,6.1,0.465000000,26-50% of geographies
county,"Juneau City and Borough, Alaska",2023,Alaska,0.7,0.0,0.353000000,26-50% of geographies
county,"Cleburne County, Arkansas",2023,Arkansas,0.4,0.2,0.353000000,26-50% of geographies
county,"Mills County, Texas",2023,Texas,0.6,0.0,0.469000000,26-50% of geographies
county,"Beaufort County, South Carolina",2023,South Carolina,15.8,11.5,0.469000000,26-50% of geographies
county,"Kennebec County, Maine",2023,Maine,0.8,0.3,0.357000000,26-50% of geographies
county,"Prairie County, Montana",2023,Montana,0.0,0.0,0.357000000,26-50% of geographies
county,"Jennings County, Indiana",2023,Indiana,0.5,0.2,0.357000000,26-50% of geographies
county,"Cameron County, Pennsylvania",2023,Pennsylvania,0.0,0.0,0.473000000,26-50% of geographies
county,"Kenai Peninsula Borough, Alaska",2023,Alaska,0.6,0.3,0.473000000,26-50% of geographies
county,"Atchison County, Kansas",2023,Kansas,4.3,2.8,0.473000000,26-50% of geographies
county,"Lamar County, Alabama",2023,Alabama,9.3,7.3,0.473000000,26-50% of geographies
county,"Cambria County, Pennsylvania",2023,Pennsylvania,3.2,1.0,0.361000000,26-50% of geographies
county,"Lumpkin County, Georgia",2023,Georgia,1.8,1.2,0.361000000,26-50% of geographies
county,"Van Buren County, Iowa",2023,Iowa,0.2,0.0,0.361000000,26-50% of geographies
county,"Santa Clara County, California",2023,California,2.4,1.3,0.361000000,26-50% of geographies
county,"Transylvania County, North Carolina",2023,North Carolina,3.9,1.8,0.477000000,26-50% of geographies
county,"Ogemaw County, Michigan",2023,Michigan,0.6,0.0,0.477000000,26-50% of geographies
county,"Adams County, Nebraska",2023,Nebraska,1.4,0.0,0.477000000,26-50% of geographies
county,"Clay County, Florida",2023,Florida,11.4,8.9,0.365000000,26-50% of geographies
county,"Haywood County, North Carolina",2023,North Carolina,1.0,0.7,0.365000000,26-50% of geographies
county,"Sarasota County, Florida",2023,Florida,4.1,1.7,0.365000000,26-50% of geographies
county,"Coosa County, Alabama",2023,Alabama,29.7,25.3,0.481000000,26-50% of geographies
county,"Baker County, Oregon",2023,Oregon,1.2,1.0,0.481000000,26-50% of geographies
county,"Maries County, Missouri",2023,Missouri,0.2,0.0,0.481000000,26-50% of geographies
county,"Brown County, Ohio",2023,Ohio,0.9,0.9,0.369000000,26-50% of geographies
county,"Wayne County, West Virginia",2023,West Virginia,0.8,0.1,0.369000000,26-50% of geographies
