geo_level,geo_name,year,state_name,pct_black_alone,pct_homeownership_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,quartiles_median_home_value_owner_occupied_houses_with_mortages,quartiles_median_home_value_owner_occupied_houses_without_mortages
zcta,33868,2023,,7.0,70.8,249100.0,186800.0,51-75% of geographies,26-50% of geographies
zcta,04221,2023,,0.0,,213900.0,187500.0,26-50% of geographies,26-50% of geographies
zcta,63701,2023,,11.8,15.2,225100.0,187800.0,26-50% of geographies,26-50% of geographies
zcta,54137,2023,,0.0,,257800.0,189200.0,51-75% of geographies,26-50% of geographies
zcta,68017,2023,,0.1,100.0,213800.0,191100.0,26-50% of geographies,26-50% of geographies
zcta,39078,2023,,27.0,43.5,,192500.0,,26-50% of geographies
zcta,44070,2023,,2.2,53.0,208900.0,193400.0,26-50% of geographies,51-75% of geographies
zcta,15146,2023,,15.4,40.9,199100.0,193500.0,26-50% of geographies,51-75% of geographies
zcta,73063,2023,,0.0,,96000.0,193800.0,Bottom 25% of geographies,51-75% of geographies
zcta,85635,2023,,7.3,49.9,227100.0,194000.0,26-50% of geographies,51-75% of geographies
zcta,32040,2023,,3.0,100.0,211600.0,194100.0,26-50% of geographies,51-75% of geographies
zcta,13679,2023,,0.0,,202400.0,197600.0,26-50% of geographies,51-75% of geographies
zcta,01109,2023,,33.4,57.5,205000.0,198000.0,26-50% of geographies,51-75% of geographies
zcta,99179,2023,,0.8,,388100.0,200000.0,Top 25% of geographies,51-75% of geographies
zcta,54230,2023,,0.0,,209200.0,201900.0,26-50% of geographies,51-75% of geographies
zcta,51575,2023,,0.6,,366700.0,201900.0,Top 25% of geographies,51-75% of geographies
zcta,79734,2023,,0.7,,276200.0,202300.0,51-75% of geographies,51-75% of geographies
zcta,37327,2023,,0.6,73.2,238000.0,202700.0,51-75% of geographies,51-75% of geographies
zcta,88042,2023,,0.0,,187000.0,202800.0,26-50% of geographies,51-75% of geographies
zcta,97738,2023,,0.0,,196100.0,204500.0,26-50% of geographies,51-75% of geographies
zcta,48881,2023,,1.1,0.0,222100.0,209500.0,26-50% of geographies,51-75% of geographies
zcta,99115,2023,,0.0,,202400.0,210000.0,26-50% of geographies,51-75% of geographies
zcta,29934,2023,,60.2,93.8,,210200.0,,51-75% of geographies
